path,manages,tier,verdict
/super-admin/analytics-b2b,B2B analytics dashboard,Tier 1,NOT VERIFIED this pass
/super-admin/intelligence,B2B intelligence overview dashboard,Tier 1,NOT VERIFIED this pass
/super-admin/intelligence/geography,B2B geographic distribution analytics,Tier 1,NOT VERIFIED this pass
/super-admin/intelligence/revenue,B2B revenue analytics,Tier 1,NOT VERIFIED this pass
/super-admin/intelligence/schools,B2B per-school analytics list,Tier 1,NOT VERIFIED this pass
/super-admin/intelligence/schools/[id],B2B per-school analytics detail,Tier 1,NOT VERIFIED this pass
/super-admin/invoices,billing invoice viewer,Tier 1,"NOT VERIFIED this pass -- classified Tier 1 (viewing); would be Tier 0 if the page exposes void/regenerate mutations, not confirmed"
/super-admin/analytics,engagement/revenue/retention analytics dashboard,Tier 1,NOT VERIFIED this pass
/super-admin/learning,learning analytics (mastery, Bloom's, XP velocity),Tier 1,"NOT VERIFIED this pass -- learner-KPI definitions require assessment sign-off per super-admin-reporting skill, not re-checked"
/super-admin/goal-profiles,goal profile preview tool,Tier 2,NOT VERIFIED this pass
/super-admin/foxy-quality,AI response quality dashboard,Tier 1,NOT VERIFIED this pass
/super-admin/grounding/ai-issues,RAG/AI issue tracker,Tier 1,NOT VERIFIED this pass
/super-admin/grounding/coverage,RAG NCERT coverage dashboard,Tier 1,NOT VERIFIED this pass
/super-admin/grounding/health,RAG pipeline health dashboard,Tier 1,NOT VERIFIED this pass
/super-admin/grounding/traces,RAG retrieval trace viewer,Tier 1,NOT VERIFIED this pass
/super-admin/grounding/verification-queue,AI answer verification queue (content QA workflow),Tier 2,NOT VERIFIED this pass
/super-admin/oracle-health,AI oracle grader health dashboard,Tier 1,NOT VERIFIED this pass
/super-admin/mol-shadow,MoL (Python AI) shadow-mode comparison dashboard,Tier 1,NOT VERIFIED this pass
/super-admin/module-overrides,per-institution AI module override config,Tier 2,NOT VERIFIED this pass
/super-admin/misconceptions,misconception ontology curator (content QA),Tier 2,NOT VERIFIED this pass
/super-admin/alfabot,AlfaBot landing-widget session analytics + denylist mgmt,Tier 1,NOT VERIFIED this pass
/super-admin/alfabot/[sessionId],AlfaBot session transcript detail,Tier 1,NOT VERIFIED this pass
/super-admin/diagnostics,system diagnostics (task queue, deploy history, backup status),Tier 1,NOT VERIFIED this pass
/super-admin/health,system health dashboard,Tier 1,"NOT VERIFIED this pass (page); backing endpoint /api/v1/health independently read and verified -- see ops-findings.md Task 2"
/super-admin/observability,alerting/observability main dashboard,Tier 1,NOT VERIFIED this pass
/super-admin/observability/channels,alert delivery channel config (Slack/email/webhook targets),Tier 1,NOT VERIFIED this pass
/super-admin/observability/rules,alert rule threshold config,Tier 1,NOT VERIFIED this pass
/super-admin/sla,SLA compliance dashboard,Tier 1,NOT VERIFIED this pass
/super-admin/readiness-rubric,release readiness rubric dashboard,Tier 1,NOT VERIFIED this pass
/super-admin/reports,CSV/JSON data exports (students/teachers/parents/quizzes/chats/audit logs; up to 5000 rows per ADMIN_OPERATIONS.md),Tier 1,"NOT VERIFIED this pass -- PII-export risk (P13) applies to this page per super-admin-reporting skill; user approval required for any export containing student PII, not re-confirmed this pass"
/super-admin/support,support ticket / user-activity lookup / password reset / resend-invite,Tier 1,"NOT VERIFIED this pass -- support ticket PII-exposure boundary (rejection condition: 'Support ticket system exposes student PII to unauthorized roles') not re-checked"
/super-admin/logs,audit trail viewer,Tier 1,NOT VERIFIED this pass
/super-admin/alerts,alert config/history,Tier 1,NOT VERIFIED this pass
/super-admin/demo,demo account creation,Tier 2,"NOT VERIFIED this pass -- rejection condition requires demo/test accounts be clearly marked distinguishable from real users; not re-confirmed this pass"
/super-admin/cms,topic/question/asset CRUD (content management),Tier 2,NOT VERIFIED this pass
/super-admin/content,content seeding + bulk content ops,Tier 2,NOT VERIFIED this pass
/super-admin/subjects,subject directory,Tier 2,NOT VERIFIED this pass
/super-admin/subjects/grade-map,subject-to-grade mapping config,Tier 2,NOT VERIFIED this pass
/super-admin/subjects/violations,content/curriculum-scope violation review,Tier 2,NOT VERIFIED this pass
/super-admin/marking-integrity,forensic quiz-marking-authenticity dashboard,Tier 1,NOT VERIFIED this pass
/super-admin/marking-integrity/[studentId],per-student forensic marking detail,Tier 1,NOT VERIFIED this pass
/super-admin/bulk-upload,bulk student/user upload tool,Tier 2,NOT VERIFIED this pass
/super-admin/bulk-upload/schools,bulk school onboarding tool,Tier 2,NOT VERIFIED this pass
/super-admin/command-center,aggregated control-room view (reuses other pages' data),Tier 1,NOT VERIFIED this pass
/super-admin/workbench,multi-entity admin workbench (users/institutions/content mutation surface),Tier 0,"NOT VERIFIED this pass -- per super-admin-reporting skill ownership matrix this page touches 'all entity tables', warranting Tier 0 classification pending route-level confirmation"
