name	has	lines	tombstone	auth	logging	ext	tables	rpcs	invokes	callers_total	app	mobile	edge	migrations	ws	n_app	n_mobile	n_edge	n_mig	n_ws
coverage-audit	true	336	false	cron-secret	randomUUID+ops_events		cbse_syllabus,coverage_audit_snapshots,ff_grounded_ai_enforced_pairs	recompute_syllabus_status,total_questions_in_chapter,purge_old_grounded_traces		3			supabase/functions/daily-cron/index.ts:1477		scripts/edge-function-manifest.json:16 scripts/pre-rollout-checklist.ts:146	0	0	1	0	2
daily-cron	true	2358	false	cron-secret	requestId+randomUUID+console+ops_events	anthropic+mailgun+twilio/whatsapp	student_learning_profiles,students,feature_flags,guardian_student_links,notifications,task_queue,quiz_responses,concept_mastery,chapter_topics,daily_activity,quiz_sessions,topic_mastery_rollup	recalculate_leaderboard_snapshots,record_platform_health_snapshot,compute_education_intelligence_rollup,expire_stale_foxy_expectations,get_recent_signup_verification_status	whatsapp-notify,monthly-synthesis-builder,webhook-dispatcher,coverage-audit,verify-question-bank,send-renewal-reminder	4	apps/host/src/app/api/cron/daily-cron/route.ts:64			supabase/migrations/20260618093000_internal_cron_security_policies.sql:30 supabase/migrations/_legacy/timestamped/20260404000002_pg_cron_daily.sql:40	scripts/edge-function-manifest.json:17	1	0	0	2	1
embed-diagrams	true	648	false	hmac	requestId+console	voyage	rag_content_chunks,content_media	find_diagram_references		2				supabase/migrations/20260620001300_ai_edge_function_security_policies.sql:23	scripts/edge-function-manifest.json:18	0	0	0	1	1
embed-ncert-books	true	44	true	NONE	console					1					scripts/edge-function-manifest.json:19	0	0	0	0	1
embed-ncert-qa	true	727	false	hmac	requestId+console	anthropic+voyage	rag_content_chunks			3				supabase/migrations/20260620001300_ai_edge_function_security_policies.sql:21 supabase/migrations/20260806000012_secret_rotation_continuous_ops.sql:64	scripts/edge-function-manifest.json:20	0	0	0	2	1
embed-questions	true	410	false	hmac	requestId+console	openai+voyage	question_bank			3				supabase/migrations/20260620001300_ai_edge_function_security_policies.sql:22 supabase/migrations/20260806000012_secret_rotation_continuous_ops.sql:64	scripts/edge-function-manifest.json:21	0	0	0	2	1
embed-rag-remaining	true	43	true	NONE	console					1					scripts/edge-function-manifest.json:22	0	0	0	0	1
extract-diagrams	true	639	false	hmac	requestId+console	anthropic	content_media,rag_content_chunks			2				supabase/migrations/20260620001300_ai_edge_function_security_policies.sql:20	scripts/edge-function-manifest.json:23	0	0	0	1	1
extract-ncert-questions	true	973	false	NONE	requestId+randomUUID+console	anthropic+openai	rag_content_chunks,question_bank			4				supabase/migrations/20260609150000_python_extract_ncert_questions_flag.sql:13 supabase/migrations/20260620001300_ai_edge_function_security_policies.sql:19	scripts/edge-function-manifest.json:24 scripts/recovery/03_repair_migrations.sql:407	0	0	0	2	2
foxy-tutor	true	60	true	NONE	console					6		mobile/lib/core/constants/api_constants.dart:74 mobile/lib/data/repositories/chat_repository.dart:188		supabase/migrations/20260606000000_phase5_phase6_python_flags.sql:118 supabase/migrations/_legacy/timestamped/20260403700000_ncert_voyage_retrieval_architecture.sql:155	scripts/edge-function-manifest.json:25	0	2	0	3	1
generate-answers	true	776	false	NONE	requestId+randomUUID+console	anthropic+openai	question_bank			2				supabase/migrations/20260620001300_ai_edge_function_security_policies.sql:17	scripts/edge-function-manifest.json:26	0	0	0	1	1
generate-concepts	true	988	false	NONE	requestId+randomUUID+console	anthropic+openai	rag_content_chunks,chapter_concepts,question_bank,content_media	get_chapter_rag_content		3				supabase/migrations/20260524180000_python_generate_concepts_flag.sql:74 supabase/migrations/20260620001300_ai_edge_function_security_policies.sql:18	scripts/edge-function-manifest.json:27	0	0	0	2	1
generate-embeddings	true	391	false	NONE	requestId+console		rag_content_chunks	embedding_status_by_grade_subject		2				supabase/migrations/20260806000012_secret_rotation_continuous_ops.sql:64	scripts/edge-function-manifest.json:28	0	0	0	1	1
grade-experiment-conclusion	true	511	false	auth.getUser	requestId+randomUUID+console	anthropic	students,experiment_definitions,coin_transactions,experiment_observations	award_coins		3				supabase/migrations/20260609130000_python_grade_experiment_conclusion_flag.sql:13	scripts/edge-function-manifest.json:29 scripts/recovery/03_repair_migrations.sql:307	0	0	0	1	2
grade-written-answer	true	295	false	auth.getUser	console	anthropic	students,student_ncert_attempts,question_bank			1					scripts/edge-function-manifest.json:30	0	0	0	0	1
grounded-answer	true	638	false	NONE	requestId+correlation/trace+randomUUID+console+ops_events	anthropic+openai+voyage+twilio/whatsapp	cbse_syllabus,feature_flags,retrieval_traces,grounded_ai_traces,subjects,curriculum_topics,concept_edges,rag_content_versions			9	apps/host/src/app/api/v1/health/route.ts:130 packages/lib/src/ai/grounded-client.ts:15		supabase/functions/_shared/grounded-client.ts:14	supabase/migrations/20260618000001_platform_security_layer.sql:1154 supabase/migrations/20260806000012_secret_rotation_continuous_ops.sql:60	scripts/edge-function-manifest.json:31 scripts/pre-rollout-checklist.ts:130	2	0	1	2	4
identity	true	196	false	auth.getUser	console		students,teachers,feature_flags			3				supabase/migrations/20260806000002_data_classification_system.sql:65 supabase/migrations/20260806000008_source_of_truth_matrix.sql:50	scripts/edge-function-manifest.json:32	0	0	0	2	1
invoice-generator	true	598	false	checkBearerToken	console		feature_flags,school_invoices,schools,school_gst_details	compute_gst,next_invoice_number		1					scripts/edge-function-manifest.json:33	0	0	0	0	1
monthly-synthesis-builder	true	312	false	cron-secret	requestId+randomUUID+console		dive_artifacts,concept_mastery,curriculum_topics,monthly_synthesis_runs			5			supabase/functions/daily-cron/index.ts:1293	supabase/migrations/20260609100000_python_monthly_synthesis_builder_flag.sql:23 supabase/migrations/20260618093000_internal_cron_security_policies.sql:31	scripts/edge-function-manifest.json:34 scripts/recovery/03_repair_migrations.sql:157	0	0	1	2	2
ncert-question-engine	true	801	false	NONE	requestId+console	anthropic+voyage	students,guardian_student_links,student_ncert_attempts,user_question_history,ncert_exercises,question_bank,rag_content_chunks	get_ncert_questions		3	apps/host/src/app/(student)/quiz/page.tsx:1680			supabase/migrations/20260620001200_ncert_question_engine_security_policy.sql:15	scripts/edge-function-manifest.json:35	1	0	0	1	1
ncert-solver	true	999	false	auth.getUser	requestId+correlation/trace+randomUUID+console	anthropic	student_daily_usage,students	log_audit,check_and_record_usage		11	apps/host/src/app/api/scan-solve/route.ts:369			supabase/migrations/00000000000000_baseline_from_prod.sql:10804 supabase/migrations/20260606000000_phase5_phase6_python_flags.sql:100	scripts/edge-function-manifest.json:36	1	0	0	9	1
nep-compliance	true	581	false	auth.getUser	requestId+randomUUID+console		students,student_learning_profiles,concept_mastery,quiz_sessions			5	apps/host/src/app/hpc/page.tsx:117 packages/lib/src/usePortalFetch.ts:8			supabase/migrations/20260609110000_python_nep_compliance_flag.sql:15	scripts/edge-function-manifest.json:37 scripts/recovery/03_repair_migrations.sql:207	2	0	0	1	2
parent-portal	true	1613	false	auth.getUser	console		notifications,students,guardians,guardian_student_links,student_learning_profiles,quiz_sessions,chat_sessions,concept_mastery,student_attendance,monthly_reports	send_notification,get_available_subjects,generate_monthly_report		10	apps/host/src/app/api/v2/parent/glance/route.ts:104 apps/host/src/app/parent/attendance/page.tsx:287 apps/host/src/app/parent/children/page.tsx:1005				scripts/edge-function-manifest.json:38 scripts/edge-secret-activation-readiness.json:6	8	0	0	0	2
parent-report-generator	true	834	false	NONE	requestId+randomUUID+console	anthropic+openai	guardian_student_links,quiz_sessions,students,concept_mastery,guardians			6	apps/host/src/app/api/parent/report/route.ts:148			supabase/migrations/20260609120000_python_parent_report_generator_flag.sql:15 supabase/migrations/20260620001300_ai_edge_function_security_policies.sql:12	scripts/edge-function-manifest.json:39 scripts/recovery/03_repair_migrations.sql:257	1	0	0	3	2
projector-health-check	true	276	false	NONE	requestId+randomUUID+console		feature_flags,subscriber_lag			3				supabase/migrations/20260526100000_projector_health_check_cron.sql:11 supabase/migrations/20260618093000_internal_cron_security_policies.sql:27	scripts/edge-function-manifest.json:40	0	0	0	2	1
projector-runner	true	112	false	NONE	requestId+randomUUID+console					3				supabase/migrations/20260524110002_projector_runner_cron.sql:6 supabase/migrations/20260618093000_internal_cron_security_policies.sql:26	scripts/edge-function-manifest.json:41	0	0	0	2	1
queue-consumer	true	714	false	NONE	requestId+randomUUID+console		review_cards,student_learning_profiles,notifications,concept_mastery,ai_session_logs,domain_events,task_queue	update_concept_mastery_bkt,credit_quiz_xp		2				supabase/migrations/20260618093000_internal_cron_security_policies.sql:29	scripts/edge-function-manifest.json:42	0	0	0	1	1
quiz-generator	true	1540	false	auth.getUser	requestId+randomUUID+console		quiz_sessions,subjects,spaced_repetition_cards,question_bank,feature_flags,concept_mastery,user_question_history,students	select_questions_by_irt_info		11	packages/lib/src/domains/quiz.ts:91 packages/lib/src/supabase.ts:1733			supabase/migrations/00000000000000_baseline_from_prod.sql:11404 supabase/migrations/20260606000000_phase5_phase6_python_flags.sql:127	scripts/edge-function-manifest.json:43	2	0	0	8	1
rag-answer-v3	true	45	true	NONE	console					1					scripts/edge-function-manifest.json:44	0	0	0	0	1
rag-answer-v4	true	44	true	NONE	console					1					scripts/edge-function-manifest.json:45	0	0	0	0	1
rag-answer-v5	true	44	true	NONE	console					1					scripts/edge-function-manifest.json:46	0	0	0	0	1
rag-ingest-batch	true	43	true	NONE	console					1					scripts/edge-function-manifest.json:47	0	0	0	0	1
rag-ingest-status	true	43	true	NONE	console					1					scripts/edge-function-manifest.json:48	0	0	0	0	1
rag-query-v3	true	44	true	NONE	console					1					scripts/edge-function-manifest.json:49	0	0	0	0	1
scan-ocr	true	609	false	auth.getUser	console	anthropic	students,student_scans,foxy_scan_queries	check_and_record_usage		3	apps/host/src/app/api/scan-solve/route.ts:300			supabase/migrations/20260620001300_ai_edge_function_security_policies.sql:11	scripts/edge-function-manifest.json:50	1	0	0	1	1
send-auth-email	true	338	false	jwt-verify	correlation/trace+console	mailgun				3			supabase/functions/alert-deliverer/index.ts:132		scripts/edge-auth-sweep.mjs:90 scripts/edge-function-manifest.json:51	0	0	1	0	2
send-pre-debit-notice	true	449	false	cron-secret	correlation/trace+console+sentry	razorpay+mailgun+twilio/whatsapp	task_queue,subscription_events			2	apps/host/src/app/api/cron/pre-debit-notice/route.ts:68				scripts/edge-function-manifest.json:52	1	0	0	0	1
send-renewal-reminder	true	348	false	checkBearerToken	console	mailgun	school_contracts,schools			2			supabase/functions/daily-cron/index.ts:1637		scripts/edge-function-manifest.json:53	0	0	1	0	1
send-transactional-email	true	724	false	NONE	requestId+console	mailgun				3	apps/host/src/app/api/school-admin/parents/route.ts:471 packages/lib/src/email-delivery.ts:219				scripts/edge-function-manifest.json:54	2	0	0	0	1
send-welcome-email	true	155	false	auth.getUser	requestId	mailgun	notifications			5	packages/ui/src/auth/AuthScreen.tsx:282 packages/lib/src/identity/complete-signup.ts:162			supabase/migrations/00000000000000_baseline_from_prod.sql:6956 supabase/migrations/_legacy/005_welcome_email_triggers.sql:114	scripts/edge-function-manifest.json:55	2	0	0	2	1
session-guard	true	191	false	auth.getUser	console		user_active_sessions,identity_events			1					scripts/edge-function-manifest.json:56	0	0	0	0	1
synthetic-host-monitor	true	488	false	NONE	requestId+randomUUID+console+sentry		synthetic_monitor_results,schools			5				supabase/migrations/20260527000010_synthetic_monitor_results.sql:152 supabase/migrations/20260528000002_school_slo_and_health_check_log.sql:58	scripts/edge-function-manifest.json:57	0	0	0	4	1
teacher-dashboard	true	5064	false	auth.getUser	randomUUID+console		subjects,curriculum_topics,teachers,class_teachers,classroom_polls,class_students,students,concept_mastery,assignments,student_learning_profiles,classes,quiz_responses	get_available_subjects,get_cohort_bkt_mastery_by_student		10	apps/host/src/app/teacher/assignments/page.tsx:108 apps/host/src/app/teacher/attendance/page.tsx:265 apps/host/src/app/teacher/classes/page.tsx:93				scripts/edge-function-manifest.json:58	9	0	0	0	1
verify-question-bank	true	391	false	NONE	requestId+correlation/trace+randomUUID+console+ops_events		grounded_ai_traces,question_bank	claim_verification_batch		8			supabase/functions/daily-cron/index.ts:1526	supabase/migrations/20260609140000_python_verify_question_bank_flag.sql:13 supabase/migrations/20260618000001_platform_security_layer.sql:1194	scripts/edge-function-manifest.json:59 scripts/pre-rollout-checklist.ts:140	0	0	1	4	3
webhook-dispatcher	true	342	false	cron-secret+hmac	console		webhook_deliveries,webhook_subscriptions			2			supabase/functions/daily-cron/index.ts:1428		scripts/edge-function-manifest.json:60	0	0	1	0	1
whatsapp-notify	true	463	false	NONE	requestId	twilio/whatsapp	notification_log,task_queue			8	apps/host/src/app/api/notifications/whatsapp/route.ts:119 apps/host/src/app/api/school-admin/parents/route.ts:396 apps/host/src/app/api/synthesis/parent-share/route.ts:167		supabase/functions/daily-cron/index.ts:324	supabase/migrations/20260620001500_whatsapp_notify_security_policy.sql:24 supabase/migrations/20260722094000_whatsapp_notify_register_adaptive_remediation_caller.sql:29	scripts/edge-function-manifest.json:61	4	0	1	2	1
whatsapp-send	true	500	false	NONE	requestId+correlation/trace	twilio/whatsapp	feature_flags,whatsapp_identities,whatsapp_pending_nudges,whatsapp_conversation_windows,whatsapp_message_log	whatsapp_record_send		3	apps/host/src/app/api/whatsapp/_lib/daily6.ts:239			supabase/migrations/20260801100600_whatsapp_register_internal_callers.sql:52	scripts/edge-function-manifest.json:62	1	0	0	1	1
